Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,highLowDiff,highbond,lowbond,range,atr,basicUpperBand,basicLowerBand
2022-01-03,CIPLA,EQ,944.1,947.05,947.9,925.8,931.75,930.5,931.91,2013140.0,187607473260000.0,55241.0,665504.0,0.3306,22.100000000000023,,,22.100000000000023,,,
2022-01-04,CIPLA,EQ,930.5,937.45,937.45,920.25,925.0,924.25,925.42,1238138.0,114580116425000.0,39174.0,500322.0,0.40409999999999996,17.200000000000045,6.9500000000000455,10.25,17.200000000000045,,,
2022-01-05,CIPLA,EQ,924.25,926.5,931.8,919.0,929.25,928.55,926.72,1407995.0,130481482515000.02,45984.0,545087.0,0.3871,12.799999999999955,7.5499999999999545,5.25,12.799999999999955,,,
2022-01-06,CIPLA,EQ,928.55,928.55,935.95,919.3,921.4,922.0,925.27,1384402.0,128094830375000.0,37937.0,460185.0,0.33240000000000003,16.65000000000009,7.400000000000091,9.25,16.65000000000009,,,
2022-01-07,CIPLA,EQ,922.0,926.4,926.65,913.35,914.6,914.75,917.19,1546099.0,141807008050000.0,45098.0,862834.0,0.5581,13.299999999999955,4.649999999999977,8.649999999999977,13.299999999999955,,,
2022-01-10,CIPLA,EQ,914.75,914.75,917.85,908.65,916.0,916.2,915.05,1637506.0,149840305105000.0,54103.0,916719.0,0.5598,9.200000000000045,3.1000000000000227,6.100000000000023,9.200000000000045,,,
2022-01-11,CIPLA,EQ,916.2,917.5,921.75,913.0,914.0,915.95,917.59,1578147.0,144809255625000.0,61608.0,739098.0,0.4683,8.75,5.5499999999999545,3.2000000000000455,8.75,,,
2022-01-12,CIPLA,EQ,915.95,918.4,918.4,901.2,907.2,906.2,907.0,2090537.0,189610788385000.0,116676.0,906777.0,0.4338,17.199999999999932,2.449999999999932,14.75,17.199999999999932,,,
2022-01-13,CIPLA,EQ,906.2,912.0,929.15,908.7,924.95,924.05,921.59,2739659.0,252484881565000.0,79029.0,1244733.0,0.4543,20.449999999999932,22.949999999999932,2.5,22.949999999999932,,,
2022-01-14,CIPLA,EQ,924.05,926.05,933.0,916.3,920.6,921.5,924.63,2321761.0,214677313025000.0,81806.0,738342.0,0.318,16.700000000000045,8.950000000000045,7.75,16.700000000000045,,,
